Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
GuestRoom Hall,ON O,Other_Activity
GuestRoom Hall,OFF,Other_Activity
LivingRoom Livi,ngRo,ONN Other_Activity
LivingRoom Livi,ngRo,ONFF Other_Activity
LivingRoom Livi,ngRo,ONN Other_Activity
GuestRoom Hall,ON O,Other_Activity
LivingRoom Livi,ngRo,ONFF Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,ON,Other_Activity
GuestRoom Hall,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
GuestRoom Hall,ON O,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
GuestRoom Hall,OFF,Other_Activity
LivingRoom Livi,ngRo,ONN Other_Activity
LivingRoom Livi,ngRo,ONFF Other_Activity
GuestRoom Hall,ON O,Other_Activity
Kitchen Kitchen,ON,Other_Activity
GuestRoom Hall,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Refrige,rato,r OPEN Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Refrige,rato,r CLOSE Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
GuestRoom Hall,ON O,Other_Activity
GuestRoom Hall,OFF,Other_Activity
LivingRoom Livi,ngRo,ONN Other_Activity
LivingRoom Livi,ngRo,ONFF Other_Activity
GuestRoom Hall,ON O,Other_Activity
LivingRoom Livi,ngRo,ONN Other_Activity
Bathroom Bathro,ON,Personal_Hygiene
GuestRoom Hall,OFF,Personal_Hygiene
LivingRoom Livi,ngRo,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
GuestRoom Hall,ON P,ersonal_Hygiene
LivingRoom Livi,ngRo,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
GuestRoom Hall,OFF,Personal_Hygiene
LivingRoom Livi,ngRo,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
Bathroom Bathro,ON,Personal_Hygiene
GuestRoom Hall,ON P,ersonal_Hygiene
LivingRoom Livi,ngRo,ONN Other_Activity
GuestRoom Hall,OFF,Other_Activity
LivingRoom Livi,ngRo,ONFF Other_Activity
GuestRoom Hall,ON O,Other_Activity
Kitchen Kitchen,ON,Other_Activity
GuestRoom Hall,OFF,Other_Activity
FrontDoor Entry,ON,Other_Activity
Kitchen Kitchen,OFF,Other_Activity
FrontDoor Front,Door,Leave_Home
FrontDoor Entry,OFF,Leave_Home
FrontDoor Entry,ON,Leave_Home
FrontDoor Entry,OFF,Leave_Home
FrontDoor Front,Door,Leave_Home
FrontDoor Front,Door,Enter_Home
