1,йФлЕ йФлЕ...гьАгз?Е жяФя? гр огДт░гЕ йЕягД гр ЕЦФьДгД ░ягЦ? Ц?ЕД йчгжг огяЦ оя ЦФ чз ФчФз рАрАЕ гр гсгДсФя хЕ Е?█ зДФгД гсйщгоЕ Д≤ДД Ф░Фт? ЕЦягЕ ФйАщД ЦДрА мйЦг │?ттФД хгтЕ гмйЦгА ФчФз рАрАЕ гЦтх сгзй ?.??оч?чЕ хгЦого тяФз гр тЦгАтяч тЦгАшях? хЕ сЦй лДФх гогЦЕ огяЕ... хгйт≤я Е?й рАрАЕ тДгс? ЕЦФ▌Дй?≤ г?ягД огДт░гЕ йЕягД. Аьщг гьАгз ясгДЛ ≤ДМо: яММс тФягЛ тЕя йЕягД ЕЦМД гАгД рДоЕ йФ тх≤Е нхя гзАгЦ ≤яо гЦтх рАрАЕ хря░ │гМйнй хЕ гмйЦгА 80ояуо ЦМго. ьФщгД ≤ял йЕягД ЦчоЦЕ Л рАрАЕ хря░ йЕягД..... ЕЦЕ Л ДМяФЕгЛ гЦогоЛ ЕАгА гЕЦя.гйт ДтгДЛ Ф......гЦгоЕ хгт тоДо.
-1,"гЦгЦ ргоЕ с?гя Ф гЦгЦ ргоЕ х?▌Д"" гЦгЦ ргоЕ с?гя лЕй ЦДгьч оФя осй Ф щгчо гЦгЦ ргоЕ !! ДщЕЦ?оД ояо хря░?сй ! г?Д йуФ?я гЦгЦ ргоЕ х?▌Д Есй ≤Е хяг? ЦДгьч оФя осй сгнйЕ тоЕ Ф с?гя Есй .гЦгЦргоЕ зях? хЕ ДгЦ х?▌Д ≤Е хг нФояФ лгхлг Ц?тЕ ... ! """
1,б?г ЦгяЦФА≤ нгД░? сЦ? гсй© оя ≤тФя Цг хс?гя? хя г?Д хгФяДо ≤Е оЦ ЦгяЦФА≤²Ег? нгД░? мгФ? Цчго?я? гр с?гДФя ?г сЦ ЦЕА≤ гсй ≤Е Ц?²йФгДо хяг? гДсгД ≤тДоЕ хгто. гщсгДЕ²Ег? щягФгД? ФлФо огяо гр Ця░ осйЕ²лЦз? нгДФгоЕ²Ег?? ≤Е ЦгяЦФА≤? оя о?░ шпг ?г ≤йя? █г??²тгД гщйгоЕ.
1,"няЦгЕг? бАФоЕ тоЕ йФсь огзт!"" йФлЕ йФлЕ н?А? ЦЕЦ Ф н?А? щФя? ... о≤йя █гФФт ргоЕ я??с х?ЦгясйгД нгйЦ гАгДх?г оянФгсй гьАгз ясгД? щФя? хЕ ЦяоЦ г?ягД яг огяо ... хЕ гьАгз йЦгЦ ЕЦФьДгД зр?р хясгД?о ≤Е йг гьАгз кгДФ? гр нФяоД няЦг Фгяогй? хг Ея ДФз ЦоА лог нФоогя? ≤Д?о.░яФЕ≤ йяФя?сй? огзт │с гр йсАь хя рягонгДЕ Ег? т?Ц?г?? Ф Ц?≤яФх? зягч║ гчогЦ хЕ бАФоЕ ДЦФоД хян? ЦмуФАгй Ф чг█гч бД хЕ огнА нг≤ г?ягД ДЦФоЕ гсй.г?Д ЦмуФАгй мгФ? ЦгоЕ т?Ц?г?? г≤Е ЕсгАгй бЦФД?ФЦ ЕсйДо ≤Е Цсйч?Цг Ф хЕ сязй хя яФ? с?сйЦ зух? гкя ░пгтйЕ Ф ЦДля хЕ щАл тоД Ф Ця░ щяо нФгЕо то. йг≤ДФД х?т гр оЕ ЦФяо хЕ х?ЦгясйгД гЦгЦ яжг гялгз огоЕ тоЕ гсй.нФгЕтЦДо?Ц йг Ц?йФгД?о хЕ Дро?≤гД нФо гьАгз оЕ?о.≤│? глхгя?... """
1,ро?≤ тоД Ця?н хЕ рЦ?Д оя ? тЕя?Фягр гйщгч яФр ? тЕя?Фя ЦьАз хгт?о Ф хЕ о?░ягД ЕЦ нхя оЕ?о.(тч гАчЦя й≤ягя Ц?тФо) . ≤яЕ Ця?н хЕ хгАгйя?Д оялЕ оянтт оя бсЦгД тх оя ? тЕя?Фя нФгЕо яс?о. гФД хЕ гДогрЕ ≤яЕ ЦгЕ йЦгЦ хря░ хг █тЦ ш?я ЦсАм хЕ Дыя нФгЕо яс?о. г?Д Фчй? гсй ≤Е оя яФр ? тЕя?Фя ≤яЕ Ця?н хЕ щгуАЕ ??? Цг?А? нФо хЕ рЦ?Д Ц?ясо.мйЦг оя ягс сгзй ??:?? хзо гр ыЕя ( Д?ЦЕ тх) бсЦгД яг йЦгтг ≤Д?о. хЕ Дыя нФгЕо яс?о ≤Е бсЦгД оФ ЦгЕ огяо !!!г?Д гЦя ???? сгА о?░я оФхгяЕ гйщгч нФгЕо гщйго
-1,"ыЕФя олгА║ йФАо боЦ щжг?? ░щйЕ Ц?тФо йФАо ДФрго? оя гсягф?А ?ЕФо?гД г?Д ≤тФя яг хЕ той Фмтй роЕ ≤яоЕ гсй р?яг г?Д ДФрго ?ЕФо? тхгЕй хс?гя р?го? хЕ олгА бнягАрЦгД ≤Е оя йЦгЦ ≤йх о?Д? Ф ш?я о?Д? лЕгД гр лЦАЕ оя ?ЕФо?й║ Цс?м?й Ф гсАгЦ гр бД хЕ зДФгД щйДЕ ░я Ф ояФш░Ф? бнягАрЦгД ДгЦ хяоЕ тоЕ гсй огяо. б?г г?Д ДФрго ≤Е хг Ця░ осй Ф │ДлЕ ДяЦ Ц?≤До ЕЦгД олгА щйДЕ ░я гсй ║ г░я г?Д ЕЦгД гсй б?г нхя? ФмтйДг≤йя гр г?Д лФо огяо Ф г░я Д?сй █ьФя г?Д ЕЦЕ тхгЕй©"
-1,онйя? ≤Е оя ся?АгД≤г хоФД тФЕя мгЦАЕ тоЕ хФо Ф гозг Ц?≤яо ?≤ сщ??ДЕ ? щжг?? гФ яг яхФоЕ Ф йФсь ?≤? гр х?░гД░гД ЦФяо йзяж лДс? чягя ░ящйЕ хгАгняЕ │с гр Етй ЦгЕ Ф х?сй яФр щярДот яг хоД?г бФяоЕ┘.оя ≤ЦгА м?яй Ф ДгхгФя? ≤Фо≤т хЕ ягсй? ?≤ х?░гДЕ ? оФя░Е гсй┘ЦФлФо? хг ся Ф хоД? тх?Е гДсгД ФА? огяг? ?≤ █тЦ хря░ оя Фсь │?тгД? Ф хоФД х?Д?┘! г?Длгсй ≤Е зАЦ гр йФж?м Ф йФл?Е г?Д │о?оЕ ? гсйкДг?? Ф хс?гя хс?гя зл?х Ф Дгоя оя Ц?ЦгДо┘.мч?чйг Цг оя г?Д ░?й? йДЕг Д?сй?Ц © щчь ног? Аг?ргА Ц?огДо Ф хс┘.г?Д ≤А?│? ≤Е гАгД хягйФД Ц?щясйЦ ?≤ яФр │с гр йФАо ДФрго яг ДтгД Ц?оЕо ≤Е оя Ц?гД йогх?я то?о гЦД?й? йФсь ?≤? гр │рт≤гД яФ?гА Егс│?йгА оя АДоД ░ящйЕ тоЕ Ф хЕ йЦгЦ лЕгД ЦнгхяЕ ░тйЕ┘..мгАтФ ххя?Д
1,"ЦсАЦгД тоД сФД?йг Ф?А?гЦр Ф Д?А бяЦсйягД░. нгДЦ сФД?йг Ф?А?гЦр щжгДФяо ЕДо? гАгуА бЦя?≤г?? йхгя гсй. гФ │с гр хгр░тй гр бня?Д сщянФо оя сгА 2014 гр г?сй░гЕ щжг?? Дгсг хЕ о?Д гсАгЦ Ф ЦпЕх хямч йт?з Цтящ то. оА?А г?Д йуЦ?Ц яг гр г?Д нгДЦ сФгА ≤яоДо. ░щй: оя Цой мжФяЦ оя г?сй░гЕ Дгсг ║ рЦ?Д яг оя йгя?≤? ЦьАч Ц? о?оЦ. ФА? Етй ДчьЕ гр рЦ?Д ЕЦ?тЕ ДФягД? хФо Ф о?░я г?Д≤Е ЦогЦ оя бсЦгД хоФД ФлФо ≤Ф█≤йя?Д щя≤гДс?║ уог? гпгД Ц? бЦо. Фчй? хЕ рЦ?Д хя░тйЦ. ЦФчз?й лшягщ?г?? Етй ДчьЕ ДФягД? яг хг оч?ч йя?Д осй░гЕ Ег? Ц≤гД ?гх хяяс? ≤яо?Ц. ФбД Етй ДчьЕ ДФягД? зхгяй хФо гр' Ц≤Е. Цо?ДЕ . чхясйгД хч?з . ≤яхАг. сгЦяг. ≤гыЦ?Д. Длщ. Ф ЦтЕо. ЦД Е?█ ягЕ? лр щяФо бФяоД ся йзы?Ц Ф йсА?Ц оя ЦчгхА гсАгЦ Ф т?зЕ ДогтйЦ... Д?А бяЦсйягД░║ гФА?Д гДсгДЛ ≤Е чоЦ хя яФЛ ЦгЕ ░пгтй║ чхФА гсАгЦ ≤яо. яФрДгЦЕ ╚гсйгя╩ █г│ ЦгАрЛ ░ргят ≤яо ≤Е йш??я ЦпЕх гФ │с гр бД≤Е щЕЦ?о уогЛ зл?хЛ ≤Е хЕ ЕД░гЦ чоЦ ДЕгоД хя ЦгЕ тД?оЕ уогЛ гпгД хФоЕ гсй. хЕ ЕД░гЦ хгр░тй гр сщя щжг?Л Ф сщя хЕ ≤тФяЕгЛ ЦнйАщ лЕгД║ ?≤Л гр лгЕг?Л ≤Е ЦФяо хгро?о бяЦсйягД░ чягя ░ящй║ │г?йнй Цуя║ тЕя чгЕяЕ хФо ≤Е Цлоог бяЦсйягД░ ЕЦгД уог яг хг ЕЦгД ≤?щ?й ≤Е оя ЦгЕ тД?оЕ хФо тД?о Ф ФчйЛ ≤Е гр ?≤Л гр Цуя?гДЛ ≤Е гФ яг ЕЦягЕЛ Ц?²≤яо ояхгяЕ уогЛ ЦФяо Дыя │яс?о║ хЕ гФ ░щйЕ то ≤Е г?Д уогЛ гпгД гсй. гФ ≤гЦАг ЦхЕФй тоЕ хФо █ФД г?Д оч?чг ЕЦгД уог?Л хФо ≤Е з?Дг оя ЦгЕ тД?оЕ хФо. хДгхя ░ргят гсйгя оя Дй?лЕ г?Д гчогЦ (│п?ящйД гсАгЦ) бяЦсйягД░ тшАт яг гр осй ого Ф хДгхя ░щйЕ гФ ╚ногФДо╩ яг ?гщйЕ хФо Ф хДгхяг?Д гр осй огоД тшА ДЦ?йФгДсй ЦЕЦ хгто."
-1,≤│? хФоД сяФо ЦА? г?ягД! ≤с? ≤Е ДнФгсйЕ ДгЦт щгт тФо(!)■ ≤тщ ≤яоЕ ≤Е сяФо ЦА? г?ягД ≤│? гр сяФо ЦА? ≤яЕ лДФх? гсй.
1,"нФгу жосяьгД? ЦФр хг А≤Е²Ег? й?яЕ █чоя ум?м гсй©! ╚гр г?Д хЕ хзо ЦФрЕг? н?А? яс?оЕ Ф ДяЦ яг ≤Е │я гр А≤Е²Ег? й?яЕ ЕсйДо Ф г░я хЕ Ея ≤с? бДЕг яг йзгящ ≤Д?о ДФз? йФЕ?Д мсгх Ц?тФо оФя Дя?р?о р?яг бня?Д ймч?чгй огДтЦДогД ▌г│Д? ДтгД Ц?оЕо ≤Е ЦФрЕг? АЕ тоЕ Ф с?гЕ огяг? ЦгоЕ ЦзлрЕ²бсг? TNF гсй ≤Е чояй ЦхгярЕ хг сАФА Ег? сяьгД? Ф гр х?Д хяоД бДЕг яг огяДо Ф Ея █чоя ЦФр яс?оЕ йя Ф с?гЕ йя хгто х?тйя огяг? г?Д ЦгоЕ гсй. хя гсгс ймч?чгй огДтЦДогД ▌г│Д? оя Ц?гД Ц?ФЕ Ег?? ≤Е нгу?й жо сяьгД огяДо ЦкА гД░Фя║ с?х║ ЕДоФгДЕ║ бДгДгс║ ░Агх? Ф няЦгАФ║ ЦФр нгу?й х?тйя? оя гщрг?т ░АхФА²Ег? сщ?о Ф йчФ?й с?сйЦ г?ЦД? хоД Ф т≤сй огоД сАФА Ег? сяьгД? огяо р?яг ЦгоЕ TNFоя ЦФрЕг? яс?оЕ х?т гр Ц?ФЕ²Ег? о?░я гсй.╩"
